100 137
41 94
19 16 48
34 40 43
73 60 1
75 14 16
34 23 16
5 37 35
85 11 20
77 91 32
19 72 19
10 82 32
74 3 43
44 82 9
70 96 43
79 97 24
75 83 2
24 7 34
33 73 20
98 65 11
96 23 33
52 24 39
42 84 2
74 4 22
48 86 41
62 15 20
80 71 50
29 66 24
75 76 3
29 16 46
36 95 32
74 51 47
96 13 10
66 84 50
62 31 3
17 21 9
56 23 27
10 64 3
46 48 27
92 61 2
67 97 16
93 47 35
9 4 8
2 86 22
18 17 50
9 100 36
47 6 2
10 31 25
90 41 42
89 26 36
97 89 15
79 47 7
98 52 11
3 30 32
8 47 42
3 71 7
25 48 21
100 75 26
15 95 34
1 48 47
34 32 45
54 24 26
1 63 19
17 95 25
56 49 35
62 40 14
6 82 48
93 9 2
66 36 11
99 1 7
27 93 10
16 47 18
25 67 30
96 20 19
8 16 17
78 92 31
20 15 6
74 8 50
87 61 32
88 42 20
11 31 25
37 39 13
91 97 35
38 34 33
6 2 19
57 78 49
10 94 11
79 97 10
11 96 7
63 28 5
43 3 22
51 9 21
14 72 34
87 63 47
69 2 21
17 4 16
44 59 14
42 26 25
36 9 39
2 19 43
43 19 46
17 5 5
86 13 18
70 2 24
70 34 25
4 79 43
24 42 32
37 72 39
100 55 13
80 89 41
34 72 46
72 6 46
71 89 44
29 96 17
23 32 12
51 49 12
13 38 2
75 79 26
8 46 6
64 96 44
80 99 8
80 7 18
7 92 37
3 90 46
99 93 37
20 14 48
79 2 21
6 14 44
93 96 44
7 56 19
83 61 9
58 96 47
57 88 5
58 86 31
88 46 7
11 96 25
21 74 48
50 14 11
78 86 17
